Municipio,Nome Municipio,Enq,Descricao,janeiro,fevereiro,marco,abril,maio,junho,julho,agosto,setembro,outubro,novembro,dezembro,Total
00790,ARCO IRIS                     ,5010-0,Dirigir veiculo sem possuir CNH/PPD/ACC,1,1,3,0,3,1,1,0,1,0,0,1,12
00790,ARCO IRIS                     ,5045-0,Dirigir veiculo com validade de CNH/PPD vencida ha mais de 30 dias,0,1,0,0,0,1,0,0,0,0,0,0,2
00790,ARCO IRIS                     ,5061-0,Entregar veiculo a pessoa sem CNH/PPD/ACC,0,0,1,0,0,0,1,0,0,0,0,0,2
00790,ARCO IRIS                     ,5118-0,Permitir posse/conducao do veiculo a pessoa sem CNH/PPD/ACC,0,0,1,0,2,1,0,0,1,0,0,1,6
00790,ARCO IRIS                     ,5193-0,Transportar crianca sem observancia das normas de seguranca estabelecidas p/ CTB,0,0,0,0,1,0,0,0,0,0,1,0,2
00790,ARCO IRIS                     ,5207-0,Dirigir sem atencao ou sem os cuidados indispensaveis a seguranca,0,0,0,0,0,0,1,0,0,0,0,0,1
00790,ARCO IRIS                     ,5843-3,"Deixar de indicar c/ antec, med gesto de braco/luz indicadora, mudanca direcao",0,0,0,0,0,0,0,0,0,0,1,0,1
00790,ARCO IRIS                     ,6408-0,Portar no veiculo placas de identificacao em desacordo c/ especif/modelo Contran,0,0,0,0,0,0,0,0,0,0,0,1,1
00790,ARCO IRIS                     ,6599-2,Conduzir o veiculo registrado que nao esteja devidamente licenciado,3,0,1,0,0,0,0,0,1,1,1,0,7
00790,ARCO IRIS                     ,6610-2,Conduzir o veiculo com caracteristica alterada,0,0,0,0,2,0,0,0,0,0,0,0,2
00790,ARCO IRIS                     ,6637-1,Conduzir o veiculo sem equipamento obrigatorio,0,1,0,0,0,0,0,0,0,0,0,0,1
00790,ARCO IRIS                     ,6637-2,Conduzir o veiculo com equipamento obrigatorio ineficiente/inoperante,0,0,0,0,0,0,1,0,0,0,0,1,2
00790,ARCO IRIS                     ,6726-1,"Conduzir o veiculo em mau estado de conservacao, comprometendo a seguranca",0,0,0,1,1,0,0,0,0,0,0,0,2
00790,ARCO IRIS                     ,6769-0,"Conduzir veic c/ defeito no sist de iluminacao, sinaliz ou lampadas queimadas",0,0,0,0,1,0,0,0,0,0,0,0,1
00790,ARCO IRIS                     ,6912-0,Conduzir veiculo sem os documentos de porte obrigatorio referidos no CTB,0,1,0,0,0,0,0,0,0,0,0,0,1
00790,ARCO IRIS                     ,6920-1,"Deixar de efetuar registro do veiculo em 30 dias, qdo for transf a propriedade",0,0,0,0,0,0,0,0,1,1,0,0,2
00790,ARCO IRIS                     ,7340-0,Dirigir o veic usando calcado que n se firme nos pes/comprometa utiliz pedais,0,0,0,0,0,1,1,1,1,0,0,3,7
00790,ARCO IRIS                     ,7366-2,Dirigir veiculo utilizando-se de telefone celular,1,0,0,0,0,0,2,0,0,0,4,0,7
